capacity,delta_vs_lru,diagnostics_count,held_out_family,miss_ratio,misses,model_sha256,objective,seed,trace_sha256,validation_mean_regret,victim_sequence_sha256
32,,0,twemcache,0.75705,30282,4ea46ab4abada53b0dba0875ed94bd3419d47d9837f93f5233a0cdb2e0fc8eb0,objective_eviction_loss,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,fc023fb67b3736027b214de9eee086e1849382afa6a61ff83f4e3cf0bcf276e3
32,,0,twemcache,0.762625,30505,d4255a8aff2911a8342b07e66300ef29b79d8b14f15c201827452fc6ed97b748,objective_next_arrival,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,6ebe02014f6b7da316f7a49628ccad1c269bf3b275218f4ba21063c37c615970
32,,0,twemcache,0.75705,30282,1453b94858960d73639fae1b71c1e0dacc020772759059d6c8408e9445bb5c57,objective_reuse_distance,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,641596a5a5bf508665ca403c580243184281ed6b58edc9ae231439b92e5a8c49
32,,0,twemcache,0.753075,30123,c289c7cd89e560bb896cc1333ef56bece2e46fef48a8be7882c3891167d5d8dc,objective_pairwise,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,65e12cdb1be3b19b36a8d91a993c759cd2f63631f4816a25c1fcb4e459345f7a
64,,0,twemcache,0.694875,27795,340e32ad98bf15d19023c372f1d8d5b287e0fce09029bc7e8d46b89e20865dfc,objective_eviction_loss,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,956e44a7e854b502e89d2be8daf439b5547695f7bb406f50cafe91262f366697
64,,0,twemcache,0.69645,27858,d530b4bfbe7440ee27e745c8b2a80ab584d6964faf98515020cdd5fced705208,objective_next_arrival,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,715cdffa2f76d4c8dc8217c1f1823b241a57510a6307a9f20c1004bb2a3660f4
64,,0,twemcache,0.695825,27833,60b12e3dc0b26fa5873aed54b74a488a5670f593edcaa7afca26bb0cd30321f2,objective_reuse_distance,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,42b6b071bc63006233f73301b84508da2b89fe2f92472f8b0815257ea3800e37
64,,0,twemcache,0.69135,27654,3d3e5610ea1728efe2b569891817e4c54f89e2d98d4cf466167e70c440d2e061,objective_pairwise,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,aec196500ebe91717aab725c51561e75211c1825dbc92b173b3a939423c49239
128,,0,twemcache,0.62455,24982,78cb62aeebd25f8a1e4d884e93d0d9906e5980a2a1f9b80e55c44d2808834d4d,objective_eviction_loss,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,e0213b1360792714a35b18607ff1b95c34313577e1b6a87bf00e9dde3266b457
128,,0,twemcache,0.6652,26608,07fcc9e6dd4183bb00bdae398361f089d4fbe3cb55b9f90e5bc8831ade56d0b1,objective_next_arrival,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,ef6bfe60e8b55fcc9f77ee13593968e0564f1eb412187a6c8249b22585ffae67
128,,0,twemcache,0.626875,25075,7c6d47fa44a38ba051ca5d1f5fe98a08bf3bf6a6ef7cdc406cf2c5cc224c1193,objective_reuse_distance,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,3863a4662cae512d2e7f31e730c5c026d894d85372eaffaae39083222557b50c
128,,0,twemcache,0.6237,24948,398fd58ea188cee29956057c73c69c7725572b3fa24edd680c5a4e5073ec2ceb,objective_pairwise,0,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9,0.0,5c1f92514d8321e49fe19894c0507d1688d82e472f4a9e9274086288f9c9f8fd
32,,0,wiki2018,1.0,40000,594ac89686cd889ed0a1bb2fdf17334ea75d400f9ffe4c3a74ed322351954428,objective_eviction_loss,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.025,1f3e191010f5997702e74daceb383eec4fb3db6e88effd92f4389e087478584f
32,,0,wiki2018,1.0,40000,c750c8d38666800f2a0a51053c91629219cfa7d7e235353970a289ca5b907f22,objective_next_arrival,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.025,32f13c1763f48bbafb6076d52d33dc939f4d74a61c3f58891525c45ffbb2ac18
32,,0,wiki2018,1.0,40000,a84f1fcb54a75b946c66bb7ca4c3a9aaaf31503b6e23629a4bf7c114008fdf6d,objective_reuse_distance,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.075,800ce73ea258b82b16d11099543c7aada8ec487eea8588f98722484043cf94d1
32,,0,wiki2018,1.0,40000,839cca71009659a66b96e128dd5662d2fd8ffd45ad9ed17be2af132798f10243,objective_pairwise,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.025,800ce73ea258b82b16d11099543c7aada8ec487eea8588f98722484043cf94d1
64,,0,wiki2018,1.0,40000,1f07b4fcda61ed9f61a5cbdd400157aac20f64270d52e0982f80c4dc937a1481,objective_eviction_loss,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.0,a22e70cb851339305098490342ebf2d38d0cd3f7e9344a94c453507da0c27383
64,,0,wiki2018,1.0,40000,5bb019afa66f1714dedd8dd0f14c68419d37023c4b840538e012af7073b35288,objective_next_arrival,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.05,d294b95f56bec004e643c8662391ce59d50cf7ffb60f249d19ece7b12ae9a4aa
64,,0,wiki2018,1.0,40000,8906cb90eb85c26189fcda150567f9b6256b99f4fa522a092c7617907d89dc8b,objective_reuse_distance,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.0,d294b95f56bec004e643c8662391ce59d50cf7ffb60f249d19ece7b12ae9a4aa
64,,0,wiki2018,1.0,40000,87be9a505992889e7bef5716756fa7ac24629811a2e1221a804420c3e4f68cd4,objective_pairwise,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.0,a9db3c5740eb90aabe98b477d925484d2be80c13c2942a7a8b0e4365d1ac0977
128,,0,wiki2018,1.0,40000,550a51913251825047061b0c4714a8d15c2ad88afec89829324879d98fd774d9,objective_eviction_loss,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.025,1ac8a8815ad8b434c28722beeb827340a1ba09d18d6fb63c5b169e862d3e0ba6
128,,0,wiki2018,1.0,40000,78df4e1f361597e6980c66170676dff8fa10e27c877f22c2b21ecfcd90f885ce,objective_next_arrival,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.05,7fd72aaa54d60fa75b43e8b34e7bdab200e42e5400ad62cd20786fa10feaf823
128,,0,wiki2018,1.0,40000,d27ce77af2fe00c3daadadfc0cf632e19a73479c2ee330541f42d594fab22926,objective_reuse_distance,0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,0.075,7fd72aaa54d60fa75b43e8b34e7bdab200e42e5400ad62cd20786fa10feaf823
